====== Sym2LowerBounds5 for G=E6, H=A2======

LiE isotropy representation: 1X[1,4] +1X[4,1]
Sage isotropy representation: A2(1,4) + A2(4,1)
Einstein constant: E=11/36
Isotype in Sym^2_0       CasGMin        CasGMax        CasH           A*AMin         A*AMax         q(R)Min        
A2(0,3)                  3/2            13/6           1/18           11/9           17/9           13/36          
A2(0,6)                  3/2            13/6           1/6            10/9           16/9           4/9            
A2(1,1)                  3/2            13/6           1/36           5/4            23/12          49/144         
A2(1,4)                  3/2            13/6           1/9            7/6            11/6           29/72          
A2(1,7)                  13/6           13/6           1/4            61/36          61/36          97/144         
A2(2,2)                  3/2            13/6           2/27           65/54          101/54         3/8            
A2(2,5)                  3/2            13/6           5/27           59/54          95/54          11/24          
A2(2,8)                  13/6           13/6           19/54          43/27          43/27          3/4            
A2(3,0)                  3/2            13/6           1/18           11/9           17/9           13/36          
A2(3,3)                  3/2            13/6           5/36           41/36          65/36          61/144         
A2(3,6)                  13/6           13/6           5/18           5/3            5/3            25/36          
A2(4,1)                  3/2            13/6           1/9            7/6            11/6           29/72          
A2(4,4)                  3/2            13/6           2/9            19/18          31/18          35/72          
A2(5,2)                  3/2            13/6           5/27           59/54          95/54          11/24          
A2(5,5)                  13/6           13/6           35/108         175/108        175/108        35/48          
A2(6,0)                  3/2            13/6           1/6            10/9           16/9           4/9            
A2(6,3)                  13/6           13/6           5/18           5/3            5/3            25/36          
A2(7,1)                  13/6           13/6           1/4            61/36          61/36          97/144         
A2(8,2)                  13/6           13/6           19/54          43/27          43/27          3/4            
q(R)>E holds globally, implying stability.
